sno,edu,infra,agri,hea,eco
116,0.0,0.1509534772046374,0.10396141048487216,0.0,0.12390477485304568
117,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.15138117090643452
119,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0
121,0.10703214006417092,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.16253832545560654
126,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.16054841770837172
128,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0
